parameter,S1,S1_conf,ST,ST_conf
Gamma_int,0.3687553114142289,0.18445369000730308,0.7267040334485301,0.19963477623671805
k_p,0.3271666849660969,0.11913330911250868,0.6260526672644686,0.22252283378222784
k_l,-1.6725853113361662e-05,6.34420779715246e-05,3.620933106379451e-07,1.25704335990275e-07
delta_alpha,3.080392406707384e-07,1.820255994778942e-06,3.999645013163507e-10,1.7607587271859798e-10
E_EBC,3.285938775657038e-08,1.3142411815500882e-06,9.061498159676645e-11,4.291102379906602e-11
kappa_TBC,0.0,0.0,0.0,0.0
porosity_TBC,0.0,0.0,0.0,0.0
