material_id,formula,rare_earth,space_group,crystal_system,e_above_hull,formation_energy,density,volume,nsites,band_gap,thermo_type,rxn_energy_CaO_eV_per_atom,rxn_CaO,rxn_energy_CaAl2Si2O8_eV_per_atom,rxn_CaAl2Si2O8
mp-1187516,YbSiO3,Yb,Pm-3m,Cubic,0.9078299743125,-2.5573448272500032,8.636992814705966,47.896258007946656,5,4.068899999999999,GGA_GGA+U_R2SCAN,-0.14376092009259844,0.3333 YbSiO3 + 0.6667 CaO -> 0.3333 Ca2SiO4 + 0.1667 O2 + 0.3333 Yb,0.0,YbSiO3 -> SiO2 + 0.5 O2 + Yb
mp-7193,Lu2Si2O7,Lu,C2/m,Monoclinic,0.0,-3.72417785166666,6.355493422392386,135.36739976875975,11,4.8449,GGA_GGA+U,-0.0988234795395253,0.2 Lu2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Lu2O3,0.0,Lu2Si2O7 -> Lu2Si2O7
mp-4300,Yb2Si2O7,Yb,C2/m,Monoclinic,0.0,-3.58617321102273,6.236822823552138,136.9169728614623,11,0.0,GGA_GGA+U_R2SCAN,-0.13619455587720575,0.2 Yb2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.3 O2 + 0.4 Yb,0.0,Yb2Si2O7 -> 2 SiO2 + 1.5 O2 + 2 Yb
mp-18318,Tm2Si2O7,Tm,P-1,Triclinic,0.036575726818197,-3.676704552727273,6.682139167830451,503.00733389744727,44,4.9405,GGA_GGA+U,-0.09626137197373597,0.2 Tm2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Tm2O3,0.0,Tm2Si2O7 -> Tm2Si2O7
mp-1095467,Tm2Si2O7,Tm,C2/m,Monoclinic,0.0,-3.713280279545464,6.085429203944716,138.0824956998644,11,4.7966999999999995,GGA_GGA+U,-0.09626137197373597,0.2 Tm2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Tm2O3,0.0,Tm2Si2O7 -> Tm2Si2O7
mp-7624,Er2Si2O7,Er,P2_1/c,Monoclinic,0.001481452272727,-3.699185545454551,6.038506888721256,276.4682607699314,22,4.918,GGA_GGA+U,-0.09488516500005195,0.2 Er2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Er2O3,0.0,Er2Si2O7 -> Er2Si2O7
mp-7064,Er2Si2O7,Er,C2/m,Monoclinic,0.0,-3.700666997727278,5.974776007580203,139.70862631954532,11,4.798599999999999,GGA_GGA+U,-0.09488516500005195,0.2 Er2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Er2O3,0.0,Er2Si2O7 -> Er2Si2O7
mp-17404,Y2Si2O7,Y,Pnma,Orthorhombic,0.023324581212129,-3.647698447499999,3.962137549101192,580.000879155743,44,5.381399999999999,GGA_GGA+U,-0.08488373278507177,0.2 Y2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Y2O3,0.0,Y2Si2O7 -> Y2Si2O7
mp-556860,Y2Si2O7,Y,P-1,Triclinic,0.036002630984857,-3.635020397727272,4.22647846181067,543.7252981599638,44,4.9349,GGA_GGA+U,-0.08488373278507177,0.2 Y2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Y2O3,0.0,Y2Si2O7 -> Y2Si2O7
mp-18662,Ho2Si2O7,Ho,Pnma,Orthorhombic,0.0,-3.675094839090908,5.9931162354559415,551.9626103469836,44,5.3233000000000015,GGA_GGA+U,-0.10191782203955446,0.2 Ho2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Ho2O3,0.0,Ho2Si2O7 -> Ho2Si2O7
