material_id,formula,rare_earth,space_group,crystal_system,e_above_hull,formation_energy,density,volume,nsites,band_gap
mp-13775,Gd2Si2O7,Gd,Pnma,Orthorhombic,0.0,-3.629723050909088,5.503865479146377,582.49031019204,44,3.2104
mp-16461,Gd2Si2O7,Gd,P2_1/c,Monoclinic,0.030158190227281,-3.599564860681817,5.930507184467777,540.585857243329,44,2.9046000000000003
mp-542469,Gd2Si2O7,Gd,P-1,Triclinic,0.011054239090917,-3.6186688118181802,5.956232416595656,538.2510429362369,44,2.7971
mp-542831,Gd2SiO5,Gd,P2_1/c,Monoclinic,0.0,-3.73295124156251,6.773703368819309,414.3758366164221,32,3.0808
mp-1184484,GdSiO3,Gd,Pm-3m,Cubic,0.607033879624996,-2.882494295,7.464244455265322,51.90876675147047,5,0.0
mp-1224635,GdSiO4,Gd,Pna2_1,Orthorhombic,0.187522508333326,-3.139723621666666,5.4913190637229,301.58681245215433,24,0.0
mp-17308,Tb2Si2O7,Tb,P-1,Triclinic,0.0,-3.657226894848484,6.100760237975205,529.1478532643463,44,4.9475
mp-1208518,Tb2SiO5,Tb,P2_1/c,Monoclinic,0.0,-3.784206000416667,7.024483530816206,402.75058814453183,32,4.8469999999999995
mp-1208437,Tb5Si3O13,Tb,P6_3/m,Hexagonal,0.077289843095231,-3.64523786968254,6.736503446318545,535.8266820867628,42,0.0
mp-1187364,TbSiO3,Tb,Pm-3m,Cubic,0.7094974339999941,-2.815659758333333,7.530094610668917,51.82427694555707,5,0.0
mp-1225780,Dy2Si2O7,Dy,P1,Triclinic,0.007435804318179,-3.659418946363636,6.112233958841164,803.8855285297725,66,4.5344
mp-17062,Dy2Si2O7,Dy,P-1,Triclinic,0.006754200378784001,-3.660100550303029,6.06732807588437,539.8901971396976,44,4.9489
mp-752405,Dy2SiO5,Dy,P2_1/c,Monoclinic,0.022826834687499003,-3.791786693541667,7.018011524727257,409.8884179810423,32,4.9139
mp-768317,Dy2SiO5,Dy,C2/c,Monoclinic,0.0,-3.814613528229166,6.765194038669526,425.20608053526036,32,4.6662
mp-768411,Dy2SiO5,Dy,Pnma,Orthorhombic,0.08145145218750101,-3.733162076041665,7.093811745808069,405.5085959876285,32,4.3507
mp-16809,Ho2Si2O7,Ho,P-1,Triclinic,0.012073345000008001,-3.663021494090907,6.441060537997115,513.5763065601901,44,4.9477
mp-18662,Ho2Si2O7,Ho,Pnma,Orthorhombic,0.0,-3.675094839090908,5.9931162354559415,551.9626103469836,44,5.3233000000000015
mp-17065,Ho2SiO5,Ho,P2_1/c,Monoclinic,0.0,-3.798526289375006,7.395128507986036,393.3517542712843,32,4.702
mp-1184813,HoSiO3,Ho,Pm-3m,Cubic,0.7570571732499971,-2.783655503999998,7.839893360987574,51.048295860736005,5,0.0
mp-7064,Er2Si2O7,Er,C2/m,Monoclinic,0.0,-3.700666997727278,5.974776007580203,139.70862631954532,11,4.798599999999999
mp-7624,Er2Si2O7,Er,P2_1/c,Monoclinic,0.0014814522727270001,-3.699185545454551,6.038506888721256,276.4682607699314,22,4.918
mp-16993,Er2SiO5,Er,P2_1/c,Monoclinic,0.025430450625012,-3.811239388125001,7.576299378242945,388.0287113559867,32,4.650399999999999
mp-555983,Er2SiO5,Er,C2/c,Monoclinic,0.0,-3.836669838750007,7.079422042797362,415.26295039547216,32,4.7585999999999995
mp-1095467,Tm2Si2O7,Tm,C2/m,Monoclinic,0.0,-3.7132802795454642,6.085429203944716,138.0824956998644,11,4.7966999999999995
mp-18318,Tm2Si2O7,Tm,P-1,Triclinic,0.036575726818197006,-3.676704552727273,6.682139167830451,503.00733389744727,44,4.9405
mp-17704,Tm2SiO5,Tm,P2_1/c,Monoclinic,0.003559554218755,-3.8274684203125022,7.6436631866730735,387.52043692209014,32,4.6073
mp-4300,Yb2Si2O7,Yb,C2/m,Monoclinic,0.0,-3.58617321102273,6.236822823552138,136.9169728614623,11,0.0
mp-3216524,Yb3SiO,Yb,Imma,Orthorhombic,0.233278305166667,-1.545238797749999,9.94947981377159,187.994499502588,10,0.0
mp-1187516,YbSiO3,Yb,Pm-3m,Cubic,0.9078299743125001,-2.5573448272500032,8.636992814705966,47.896258007946656,5,4.068899999999999
